ID,LOCALITY,ZIPCODE,CITY
85,ZAMISTANPUR,500203,HYDERABAD
86,TIRUMALGHERRY,500205,HYDERABAD
87,HYDERABAD AIRPORT 1,500207,HYDERABAD
88,HYDER SHAH KOTE,500209,HYDERABAD
89,HYDERABAD GPO,500211,HYDERABAD
90,HYDERABAD JUBILEE HO,500213,HYDERABAD
91,HYDERABAD PUBLIC SCHOOL,500215,HYDERABAD
92,I.E.NACHARAM,500217,HYDERABAD
93,I.M.COLONY,500219,HYDERABAD
94,IBRAHIM BAGH LINES,500221,HYDERABAD
95,IE MOULALI,500223,HYDERABAD
96,IICT,500225,HYDERABAD
97,JAGGAMGUDA,500227,HYDERABAD
98,JAMA I OSMANIA,500229,HYDERABAD
99,JILLELLAGUDA,500231,HYDERABAD
100,KARWAN SAHU,500233,HYDERABAD
101,KACHIVANI SINGARAM,500235,HYDERABAD
102,KATTEDAN IE SO,500237,HYDERABAD
103,KEESARA,500239,HYDERABAD
104,KEESARAGUTTA,500241,HYDERABAD
105,KESHOGIRI SO,500243,HYDERABAD
106,KHAIRATABAD HO,500245,HYDERABAD
107,KINGSWAY,500247,HYDERABAD
108,KISMATPUR,500249,HYDERABAD
109,KOLTHUR,500251,HYDERABAD
110,KORREMAL,500253,HYDERABAD
111,KULSUMPURA,500255,HYDERABAD
112,KYASARAM,500257,HYDERABAD
113,LALGADI MALAKPET,500259,HYDERABAD
114,MEHDIPATNAM,500261,HYDERABAD
115,OLD CITY,500263,HYDERABAD
116,PRATAP SINGARAM,500265,HYDERABAD
117,QAZIPURA,500267,HYDERABAD
118,RC IMARAT SO,500269,HYDERABAD
119,RAHMATH NAGAR,500271,HYDERABAD
120,RAIL NILAYAM,500273,HYDERABAD
121,RAJ BHAVAN,500275,HYDERABAD
122,RAJBOLARAM,500277,HYDERABAD
123,AG COLLEGE,500279,HYDERABAD
124,AG OFFICE,500281,HYDERABAD
125,A.GS STAFF QUARTERS,500283,HYDERABAD
126,AMBER NAGAR,500285,HYDERABAD
127,ANAND NAGAR,500287,HYDERABAD
128,ANANTHAGIRI,500289,HYDERABAD
129,ANDHRA MAHILA SABHA,500291,HYDERABAD
130,APERL,500293,HYDERABAD
131,APHB COLONY MOULALI,500295,HYDERABAD
132,ATVELLI,500297,HYDERABAD
133,BADANGPET,500299,HYDERABAD
134,BEGUMPET,500301,HYDERABAD
135,BEGUMPET POLICE LINES,500303,HYDERABAD
136,BHARATH NAGAR COLONY,500305,HYDERABAD
137,BODUPPAL,500307,HYDERABAD
138,BOGARAM,500309,HYDERABAD
139,CENTRAL POLICE LINES,500311,HYDERABAD
140,CHANCHALGUDA COLONY,500313,HYDERABAD
141,CHANDULAL BARADARI,500315,HYDERABAD
142,CRP CAMP,500317,HYDERABAD
143,CYBERABAD,500319,HYDERABAD
144,DARGAH HUSSAIN SHAH WALI,500321,HYDERABAD
145,DARUSHIFA,500323,HYDERABAD
146,DATTATREYA COLONY,500325,HYDERABAD
147,DHOOLPET,500327,HYDERABAD
148,FATHENAGAR COLONY,500329,HYDERABAD
149,GAJULARAMARAM,500331,HYDERABAD
150,GANDHI BHAVAN,500333,HYDERABAD
151,GIRMAPUR,500335,HYDERABAD
152,GOLCONDA CHOWRASTHA,500337,HYDERABAD
153,YADGARPALLY,500339,HYDERABAD
154,VIDHAN SABHA,500341,HYDERABAD
155,VISHALI NAGAR,500343,HYDERABAD
156,VAIDEHI NAGAR,500345,HYDERABAD
157,THUMKUNTA,500347,HYDERABAD
158,THIMMAIPALLY,500349,HYDERABAD
159,SWARAJ NAGAR,500351,HYDERABAD
160,SARDAR VALLABHBHAI PATEL NATIONAL POLICE ACADEMY,500353,HYDERABAD
161,SURVEY OF INDIA,500355,HYDERABAD
162,SURARAM,500357,HYDERABAD
163,SULTAN SHAHI,500359,HYDERABAD
164,KACHIGUDA STATION,500361,HYDERABAD
165,STATE BANK OF HYDERABAD,500363,HYDERABAD
166,SRIPURAM COLONY,500365,HYDERABAD
167,SRINIVASAPURAM,500367,HYDERABAD
168,SOUTH BANJARA HILLS,500369,HYDERABAD
169,SNEHAPURI COLONY,500371,HYDERABAD
170,SITAPHALMANDI,500373,HYDERABAD
171,SHYAM NAGAR,500375,HYDERABAD
172,TURKAPALLIYADARAM,500377,HYDERABAD
173,TAGARIKANAKA,500379,HYDERABAD
174,ANKIREDDYPALLI,500381,HYDERABAD
175,ANKUSHAPUR,500383,HYDERABAD
176,ANNOJIGUDA,500385,HYDERABAD
177,CHERIAL,500387,HYDERABAD
178,VIKARABAD,500389,HYDERABAD
179,GOWDAVALLI,500391,HYDERABAD
180,HANUMANPET,500393,HYDERABAD
181,HASSAN NAGAR,500395,HYDERABAD
182,HIMAYAT NAGAR,500397,HYDERABAD
183,GSI (SR) BANDLAGUDA,500399,HYDERABAD
184,ABIDS,500401,HYDERABAD
185,AMBERPET,500403,HYDERABAD
186,DILSUKHNAGAR,500405,HYDERABAD
187,SANJEEVA REDDY NAGAR,500407,HYDERABAD
188,HUDA RESIDENTIAL COMPLEX,500409,HYDERABAD
189,HINDUSTAN CABLES LTD,500411,HYDERABAD
190,DK ROAD,500413,HYDERABAD
191,HIGH COURT SO,500415,HYDERABAD
192,LIC DIVISION,500417,HYDERABAD
193,LANGER HOUSE,500419,HYDERABAD
194,MALAKPET COLONY,500421,HYDERABAD
195,MAMIDIPALLI,500423,HYDERABAD
196,MANGALHAT,500425,HYDERABAD
197,MANSOORABAD,500427,HYDERABAD
198,MOGHALPURA,500429,HYDERABAD
199,RAMPALLY,500431,HYDERABAD
200,NANAKRAMGUDA,500433,HYDERABAD
201,OSMAN NAGAR,500435,HYDERABAD
202,PADMARAO NAGAR,500437,HYDERABAD
203,PADMAVATHI NAGAR,500439,HYDERABAD
204,PAHADI SHAREEF,500441,HYDERABAD
205,KOTI,500443,HYDERABAD
206,PIRZADI GUDA,500445,HYDERABAD
207,NUTHANKAL,500447,HYDERABAD
208,P AND T COLONY S O,500449,HYDERABAD
209,OLD MLA QUARTERS,500451,HYDERABAD
210,NEW MLA QUARTERS,500453,HYDERABAD
211,NGRI,500455,HYDERABAD
212,REIN BAZAR,500457,HYDERABAD
213,SAIDABAD COLONY,500459,HYDERABAD
214,SANATH NAGAR COLONY,500461,HYDERABAD
215,SEETHARAMPET,500463,HYDERABAD
216,SANTOSH NAGAR COLONY,500465,HYDERABAD
217,SAKKUBAI NAGAR,500467,HYDERABAD
218,NAPIER LINES,500469,HYDERABAD
219,OSMANIA GENERAL HOSPITAL,500471,HYDERABAD
220,HYDERABAD AIRPORT LIMITED,500473,HYDERABAD
221,RAMAKRISHNA MATH,500475,HYDERABAD
222,PARISHRAM BHAVAN,500477,HYDERABAD
223,PEDDALAXMAPUR,500479,HYDERABAD
224,RAM KOTI,500481,HYDERABAD
225,RAMPALLIDIARA,500483,HYDERABAD
226,RANGAREDDY DISTRICT COURT,500485,HYDERABAD
227,RAVALKOLE,500487,HYDERABAD
228,SAHIFA S O,500489,HYDERABAD
229,SANATH NAGAR IE,500491,HYDERABAD
230,HINDI BHAWAN,500493,HYDERABAD
231,YELAHANKA SATELLITE TOWNSHIP,500495,BANGLORE
232,MADIVALA TANK,500497,BANGLORE
233,BTM LAYOUT,500499,BANGLORE
234,BULL TEMPLE,500501,BANGLORE
235,BIOTECHNICAL GARDEN,500503,BANGLORE
236,ST ANDREW'S CHURCH,500505,BANGLORE
237,LAL BAGH GARDENS,500507,BANGLORE
238,BENGALURU INTERNATIONAL AIRPORT (KEMPEGOWDA INTERNATIONAL AIRPORT),500509,BANGLORE
239,GOLF COURSE OF BANGALORE,500511,BANGLORE
240,TIPU SULTAN'S SUMMER PALACE,500513,BANGLORE
241,BANGALORE PALACE,500515,BANGLORE
242,CUBBON PARK,500517,BANGLORE
243,VARTHUR KERE,500519,BANGLORE
244,MAYO HALL,500521,BANGLORE
245,VIDHANA SOUDHA,500523,BANGLORE
246,VENKATAPPA ART GALLERY,500525,BANGLORE
247,VISVESVARAYA INDUSTRIAL AND TECHNOLOGICAL MUSEUM,500527,BANGLORE
248,BANGALORE MUSEUM,500529,BANGLORE
249,KARNATAKA HIGH COURT,500531,BANGLORE
250,LAXMI ROAD,500533,PUNE
251,C ROAD,500535,PUNE
252,RABHAT ROAD,500537,PUNE
253,ATARA ROAD,500539,PUNE
254,ANGLI MAHARAJ ROAD / SINHGAD ROAD,500541,PUNE
255,NIVERSITRY ROAD,500543,PUNE
256,IMANAGAR ROAD,500545,PUNE
257,AHATMA GANDHI ROAD,500547,PUNE
258,AW COLLEGE ROAD (NOT SURE),500549,PUNE
259,LAL BAHADUR SHASTRI ROAD,500551,PUNE
260,KARVE ROAD,500553,PUNE
261,SOLHAPUR ROAD,500555,PUNE
262,S.B ROAD ,500557,PUNE
263,DELHI CANTT,500559,NEW DELHI
264,DELHI GATE,500561,NEW DELHI
265,DELHI GPO,500563,NEW DELHI
266,DELHI HIGH COURT,500565,NEW DELHI
267,DELHI ROAD,500567,NEW DELHI
268,DERAWAL NAGAR,500569,NEW DELHI
269,DESH BANDHU GUPTA ROAD,500571,NEW DELHI
270,DEV NAGAR,500573,NEW DELHI
271,DHAULA KUAN,500575,NEW DELHI
272,DILSHAD COLONY,500577,NEW DELHI
273,DILSHAD GARDEN,500579,NEW DELHI
274,DLF PHASE 1,500581,NEW DELHI
275,DLF CITY,500583,NEW DELHI
276,DLF CITY PHASE 1,500585,NEW DELHI
277,DLF CITY PHASE 2,500587,NEW DELHI
278,DLF CITY PHASE 3,500589,NEW DELHI
279,DLF CITY PHASE 4,500591,NEW DELHI
280,DLF CITY PHASE II,500593,NEW DELHI
281,DLF CITY PHASE III,500595,NEW DELHI
282,DLF CITY PHASE IV,500597,NEW DELHI
283,DLF INDUSTRIAL AREA,500599,NEW DELHI
284,DLF PHASE 2,500601,NEW DELHI
285,DLF PHASE 4,500603,NEW DELHI
286,DLF PHASE II,500605,NEW DELHI
287,DLF PHASE IV,500607,NEW DELHI
288,DR. MUKHERJEE NAGAR,500609,NEW DELHI
289,DR. MUKHERJI NAGAR,500611,NEW DELHI
290,DR MUKHERJEE NAGAR,500613,NEW DELHI
291,DURGAPURI,500615,NEW DELHI
292,DWARKA SECTOR 6,500617,NEW DELHI
293,DWARKA SECTOR 10,500619,NEW DELHI
294,DWARKA SECTOR 11,500621,NEW DELHI
295,DWARKA SECTOR 12,500623,NEW DELHI
296,DWARKA SECTOR 19,500625,NEW DELHI
297,DWARKA SECTOR 3,500627,NEW DELHI
298,DWARKA SECTOR 4,500629,NEW DELHI
299,DWARKA SECTOR 5,500631,NEW DELHI
300,DWARKA SECTOR 7,500633,NEW DELHI
301,DWARKA SECTOR 9,500635,NEW DELHI
302,EAST KRISHNA NAGAR,500637,NEW DELHI
303,EAST PATEL NAGAR,500639,NEW DELHI
304,FARIDABAD OLD,500641,NEW DELHI
305,FARIDABAD SECTOR 15 A,500643,NEW DELHI
306,FARIDABAD SECTOR 16,500645,NEW DELHI
307,FARIDABAD SECTOR 7,500647,NEW DELHI
308,FATEH NAGAR,500649,NEW DELHI
309,FATEHPURI,500651,NEW DELHI
310,FRIENDS COLONY,500653,NEW DELHI
311,FRIENDS COLONY EAST,500655,NEW DELHI
312,G B ROAD,500657,NEW DELHI
313,G T KARNAL ROAD,500659,NEW DELHI
314,G T KARNAL ROAD INDUSTRIAL AREA,500661,NEW DELHI
315,GAGAN VIHAR,500663,NEW DELHI
316,GANDHI NAGAR,500665,NEW DELHI
317,GANESH NAGAR,500667,NEW DELHI
318,GARHI,500669,NEW DELHI
319,GARIMA GARDEN,500671,NEW DELHI
320,GAUTAM BUDH NAGAR,500673,NEW DELHI
321,GAUTAM NAGAR,500675,NEW DELHI
322,GAZIPUR,500677,NEW DELHI
323,GEETA COLONY,500679,NEW DELHI
324,GEETANJALI ENCLAVE,500681,NEW DELHI
325,GHAROLI,500683,NEW DELHI
326,GHAZIABAD SECTOR 11,500685,NEW DELHI
327,GHAZIABAD SECTOR 12,500687,NEW DELHI
328,GHAZIABAD SECTOR 3,500689,NEW DELHI
329,GHAZIABAD SECTOR 4,500691,NEW DELHI
330,GHAZIABAD SECTOR 9,500693,NEW DELHI
331,GHAZIPUR,500695,NEW DELHI
332,GHAZIPUR ROAD,500697,NEW DELHI
333,GHITORNI,500699,NEW DELHI
334,GHONDA CHOWK,500701,NEW DELHI
335,GOKALPURI,500703,NEW DELHI
336,GOL MARKET,500705,NEW DELHI
337,GOLE MARKET,500707,NEW DELHI
338,GOLF LINK,500709,NEW DELHI
339,GOVINDPURI,500711,NEW DELHI
340,GREATER KAILASH 1,500713,NEW DELHI
341,GREATER KAILASH 2,500715,NEW DELHI
342,GREATER KAILASH ENCLAVE,500717,NEW DELHI
343,GREATER KAILASH ENCLAVE-1,500719,NEW DELHI
344,GREATER KAILASH PART 1,500721,NEW DELHI
345,GREATER KAILASH PART 2,500723,NEW DELHI
346,GREATER NOIDA,500725,NEW DELHI
347,GREEN FIELDS COLONY,500727,NEW DELHI
348,GREEN PARK,500729,NEW DELHI
349,GT KARNAL ROAD,500731,NEW DELHI
350,GT ROAD,500733,NEW DELHI
351,GUJRANWALA TOWN,500735,NEW DELHI
352,GULABI BAGH,500737,NEW DELHI
353,GULMOHAR PARK,500739,NEW DELHI
354,GURGAON ROAD,500741,NEW DELHI
355,GURGAON SECTOR 12,500743,NEW DELHI
356,GURGAON SECTOR 14,500745,NEW DELHI
357,GURGAON SECTOR 15,500747,NEW DELHI
358,GURGAON SECTOR 53,500749,NEW DELHI
359,GURU NANAK PURA,500751,NEW DELHI
360,GURU TEG BAHADUR NAGAR,500753,NEW DELHI
361,GURUDWARA ROAD,500755,NEW DELHI
362,HAIDARPUR,500757,NEW DELHI
363,HAMILTON ROAD,500759,NEW DELHI
364,HAPUR ROAD,500761,NEW DELHI
365,HARGOVIND ENCLAVE,500763,NEW DELHI
366,HARI NAGAR,500765,NEW DELHI
367,HAROLA,500767,NEW DELHI
368,HASANPUR,500769,NEW DELHI
369,HAUZ KHAS,500771,NEW DELHI
370,HAUZ KHAS ENCLAVE,500773,NEW DELHI
371,HAUZ KHAS VILLAGE,500775,NEW DELHI
372,HAUZ QAZI,500777,NEW DELHI
373,I G I AIRPORT,500779,NEW DELHI
374,I N A MARKET,500781,NEW DELHI
375,I.T.O,500783,NEW DELHI
376,IMT MANESAR,500785,NEW DELHI
377,INA COLONY,500787,NEW DELHI
378,INDER LOK,500789,NEW DELHI
379,INDRALOK,500791,NEW DELHI
380,INDER PURI,500793,NEW DELHI
381,INDIRA GANDHI INTERNATIONAL AIRPORT,500795,NEW DELHI
382,INDIRA PURAM,500797,NEW DELHI
383,INDIRAPURAM,500799,NEW DELHI
384,INDRAPRASTHA EXTENSION,500801,NEW DELHI
385,ISLAMPUR,500803,NEW DELHI
386,ITO,500805,NEW DELHI
387,JACOMBPURA,500807,NEW DELHI
388,JAFFRABAD,500809,NEW DELHI
389,JAGATPURI,500811,NEW DELHI
390,JAHANGIR PURI,500813,NEW DELHI
391,JAHANGIRPURI,500815,NEW DELHI
392,JAIL ROAD,500817,NEW DELHI
393,JAMA MASJID,500819,NEW DELHI
394,JAMIA NAGAR,500821,NEW DELHI
395,JANAKPURI DISTRICT CENTRE,500823,NEW DELHI
396,JANGPURA,500825,NEW DELHI
397,JANGPURA EXTENSION,500827,NEW DELHI
398,JANPATH,500829,NEW DELHI
399,JASOLA,500831,NEW DELHI
400,JASOLA VIHAR,500833,NEW DELHI
401,JATWARA,500835,NEW DELHI
402,JAWAHAR COLONY,500837,NEW DELHI
403,JEEVAN NAGAR,500839,NEW DELHI
404,JHANDEWALAN,500841,NEW DELHI
405,JHANDEWALAN EXTENSION,500843,NEW DELHI
406,JHEEL,500845,NEW DELHI
407,JHEEL KHURENJA,500847,NEW DELHI
408,JHILMIL COLONY,500849,NEW DELHI
409,JHILMIL INDUSTRIAL AREA,500851,NEW DELHI
410,JIA SARAI,500853,NEW DELHI
411,JITAR NAGAR,500855,NEW DELHI
412,JOR BAGH,500857,NEW DELHI
413,JUNGPURA,500859,NEW DELHI
414,KAILASH COLONY,500861,NEW DELHI
415,KAILASH NAGAR,500863,NEW DELHI
416,KALKAJI,500865,NEW DELHI
417,KALKAJI DDA FLATS,500867,NEW DELHI
418,KALKAJI EXTENSION,500869,NEW DELHI
419,KALLUPURA,500871,NEW DELHI
420,KALU SARAI,500873,NEW DELHI
421,KALYANPURI,500875,NEW DELHI
422,KAMALA NAGAR,500877,NEW DELHI
423,KANTI NAGAR,500879,NEW DELHI
424,KAPASHERA,500881,NEW DELHI
425,KARAMPURA,500883,NEW DELHI
426,KARAMPURA WEST,500885,NEW DELHI
427,KARAWAL NAGAR,500887,NEW DELHI
428,KARKAR DUMA,500889,NEW DELHI
429,KARKARDOOMA,500891,NEW DELHI
430,KAROL BAGH,500893,NEW DELHI
431,KASHMIRI GATE,500895,NEW DELHI
432,KASTURBA GANDHI MARG,500897,NEW DELHI
433,KATWARIA SARAI,500899,NEW DELHI
434,KAUSHAMBI,500901,NEW DELHI
435,KAVI NAGAR,500903,NEW DELHI
436,KAVI NAGAR INDUSTRIAL AREA,500905,NEW DELHI
437,KESHAV PURAM,500907,NEW DELHI
438,KHAJURI KHAS,500909,NEW DELHI
439,KHAN MARKET,500911,NEW DELHI
440,KHANDSA ROAD,500913,NEW DELHI
441,KHANPUR,500915,NEW DELHI
442,KHARI BAOLI,500917,NEW DELHI
443,KHEL GAON MARG,500919,NEW DELHI
444,KHICHRIPUR,500921,NEW DELHI
445,KHIRKI EXTENTION,500923,NEW DELHI
446,KHORA COLONY,500925,NEW DELHI
447,KHUREJI KHAS,500927,NEW DELHI
448,KHYALA,500929,NEW DELHI
449,KIDWAI NAGAR,500931,NEW DELHI
450,KILOKRI,500933,NEW DELHI
451,KINGSWAY CAMP,500935,NEW DELHI
452,KIRTI NAGAR,500937,NEW DELHI
453,KIRTI NAGAR INDUSTRIAL AREA,500939,NEW DELHI
454,KISHAN GANJ,500941,NEW DELHI
455,KISHANGARH,500943,NEW DELHI
456,KONDLI,500945,NEW DELHI
457,KOTLA,500947,NEW DELHI
458,KOTLA MUBARAKPUR,500949,NEW DELHI
459,KRISHNA NAGAR,500951,NEW DELHI
460,KRISHNA NAGAR EAST,500953,NEW DELHI
461,KRISHNA PARK,500955,NEW DELHI
462,LADO SARAI,500957,NEW DELHI
463,LAJPAT NAGAR 2,500959,NEW DELHI
464,LAJPAT NAGAR 3,500961,NEW DELHI
465,LAJPAT NAGAR 4,500963,NEW DELHI
466,LAJPAT NAGAR PART 1,500965,NEW DELHI
467,LAJPAT NAGAR PART 2,500967,NEW DELHI
468,LAJPAT NAGAR PART 3,500969,NEW DELHI
469,LAJPAT NAGAR PART 4,500971,NEW DELHI
470,LAJPAT NAGAR-1,500973,NEW DELHI
471,LAJPAT NAGAR-2,500975,NEW DELHI
472,AJPAT NAGAR-4,500977,NEW DELHI
473,LAJPAT RAI MARKET,500979,NEW DELHI
474,LAJWANTI GARDEN,500981,NEW DELHI
475,LAKSHMI BAI NAGAR,500983,NEW DELHI
476,LAL KUAN,500985,NEW DELHI
477,LAWRANCE ROAD,500987,NEW DELHI
478,LAWRENCE ROAD,500989,NEW DELHI
479,LAXMI NAGAR,500991,NEW DELHI
480,LAXMI NAGAR MARKET,500993,NEW DELHI
481,LIBASPUR,500995,NEW DELHI
482,LODHI COLONY,500997,NEW DELHI
483,LODHI ESTATE,500999,NEW DELHI
484,LODHI ROAD,501001,NEW DELHI
485,LOHIA NAGAR,501003,NEW DELHI
486,LOHIYA NAGAR,501005,NEW DELHI
487,LONI,501007,NEW DELHI
488,LONI BHOPURA ROAD,501009,NEW DELHI
489,LONI ROAD,501011,NEW DELHI
490,MADANGIR,501013,NEW DELHI
491,MADANPUR KHADAR,501015,NEW DELHI
492,MADHU VIHAR,501017,NEW DELHI
493,MADIPUR,501019,NEW DELHI
494,MAHARANI BAGH,501021,NEW DELHI
495,MAHAVIR ENCLAVE,501023,NEW DELHI
496,MAHIPALPUR,501025,NEW DELHI
497,MAHIPALPUR EXTENSION,501027,NEW DELHI
498,MALIWARA,501029,NEW DELHI
499,MALKA GANJ,501031,NEW DELHI
500,MALVIYA NAGAR,501033,NEW DELHI
501,MAMURA,501035,NEW DELHI
502,MANDAWALI,501037,NEW DELHI
503,MANESAR,501039,NEW DELHI
504,MANGOLPUR KALAN,501041,NEW DELHI
505,MANGOLPURI,501043,NEW DELHI
506,MANGOLPURI INDUSTRIAL AREA PHASE 1,501045,NEW DELHI
507,MANGOLPURI INDUSTRIAL AREA PHASE 2,501047,NEW DELHI
508,MANSAROVAR GARDEN,501049,NEW DELHI
509,MANSAROWAR GARDEN,501051,NEW DELHI
510,MASJID MODH,501053,NEW DELHI
511,MASUDPUR,501055,NEW DELHI
512,MATHURA ROAD,501057,NEW DELHI
513,MAUJPUR,501059,NEW DELHI
514,MAYAPURI,501061,NEW DELHI
515,MAYAPURI INDUSTRIAL AREA PHASE 1,501063,NEW DELHI
516,MAYAPURI INDUSTRIAL AREA PHASE 2,501065,NEW DELHI
517,MAYUR VIHAR PHASE 1,501067,NEW DELHI
518,MAYUR VIHAR PHASE 2,501069,NEW DELHI
519,MAYUR VIHAR PHASE 3,501071,NEW DELHI
520,MAYUR VIHAR PHASE II,501073,NEW DELHI
521,MAYUR VIHAR PHASE III,501075,NEW DELHI
522,MEERA BAGH,501077,NEW DELHI
523,MEERUT ROAD,501079,NEW DELHI
524,MEERUT ROAD INDUSTRIAL AREA,501081,NEW DELHI
525,MEHRAULI,501083,NEW DELHI
526,MEHRAULI GURGAON ROAD,501085,NEW DELHI
527,MEHRAULI ROAD,501087,NEW DELHI
528,MIE,501089,NEW DELHI
529,MINTO ROAD,501091,NEW DELHI
530,MODEL BASTI,501093,NEW DELHI
531,MODEL TOWN PART 2,501095,NEW DELHI
532,MODEL TOWN PART 3,501097,NEW DELHI
533,MOHAMMAD PUR,501099,NEW DELHI
534,MOHAMMAD PUR MAJRI,501101,NEW DELHI
535,MOHAMMADPUR,501103,NEW DELHI
536,MOHAN CO-OPERATIVE INDUSTRIAL ESTATE,501105,NEW DELHI
537,MOHAN GARDEN,501107,NEW DELHI
538,MOHAN NAGAR,501109,NEW DELHI
539,MOLARBAND EXTENSION,501111,NEW DELHI
540,MORI GATE,501113,NEW DELHI
541,MOTI BAGH,501115,NEW DELHI
542,MOTI BAGH SOUTH,501117,NEW DELHI
543,MOTI NAGAR,501119,NEW DELHI
544,MOTIA KHAN,501121,NEW DELHI
545,MUJESAR,501123,NEW DELHI
546,MUKARJI PARK,501125,NEW DELHI
547,MUKHARJI NAGAR,501127,NEW DELHI
548,MUKUND NAGAR,501129,NEW DELHI
549,MUNDKA,501131,NEW DELHI
550,MUNIRKA,501133,NEW DELHI
551,NABI KARIM,501135,NEW DELHI
552,NAI SADAK,501137,NEW DELHI
553,NAI SARAK,501139,NEW DELHI
554,NAJAFGARH,501141,NEW DELHI
555,NAJAFGARH ROAD,501143,NEW DELHI
556,NAJAFGARH ROAD INDUSTRIAL AREA,501145,NEW DELHI
557,NANAKPURA,501147,NEW DELHI
558,NAND NAGARI,501149,NEW DELHI
559,NAND NAGRI,501151,NEW DELHI
560,NANGAL RAYA,501153,NEW DELHI
561,NANGLOI,501155,NEW DELHI
562,NANGLOI EXTENSION,501157,NEW DELHI
563,NANGLOI JAT,501159,NEW DELHI
564,NARAINA,501161,NEW DELHI
565,NARAINA INDUSTRIAL AREA,501163,NEW DELHI
566,NARAINA INDUSTRIAL AREA PHASE 1,501165,NEW DELHI
567,NARAINA INDUSTRIAL PH 1,501167,NEW DELHI
