SWITCH,Enode,Enum,AddressId,NE1,NE2,NE3,NE4,NE5,NE6,NE7,NE8,NE9,NE10
SWITCH1,131,0,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,1,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,2,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,0,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,1,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,2,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,0,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,1,2,0,1,1,0,0,1,0,1,1,0
SWITCH1,131,2,2,0,1,1,0,0,1,0,1,1,0
SWITCH2,132,0,2,1,0,0,1,1,0,1,0,0,1
SWITCH2,133,1,2,1,1,1,0,0,1,0,1,1,0
SWITCH2,134,2,2,1,0,1,0,1,0,1,1,0,1
SWITCH2,135,0,2,0,1,0,1,1,0,1,1,0,0
SWITCH2,136,1,2,0,1,0,1,0,1,1,0,1,0
SWITCH2,137,2,2,0,1,1,0,0,1,0,1,1,0
SWITCH2,138,0,2,1,0,0,1,1,0,1,0,0,1
SWITCH2,139,1,2,1,1,1,0,0,1,0,1,1,0
SWITCH2,140,2,2,1,0,1,0,1,0,1,1,0,1
SWITCH2,141,0,2,0,1,0,1,1,0,1,1,0,0
SWITCH2,142,1,2,0,1,0,1,0,1,1,0,1,0
SWITCH3,143,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH3,144,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH3,145,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH3,146,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH3,147,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH3,148,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH3,149,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH3,150,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH3,151,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH3,152,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH3,153,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH3,154,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH3,155,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH3,156,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH3,157,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH3,158,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH3,159,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH3,160,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH3,161,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH3,162,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH4,163,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH4,164,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH4,165,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH4,166,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH4,167,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH4,168,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH4,169,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH4,170,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH4,171,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH4,172,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH4,173,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH4,174,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH4,175,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH4,176,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH4,177,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH4,178,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH4,179,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH4,180,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH4,181,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH4,182,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH4,183,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH4,184,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH4,185,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH4,186,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH4,187,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH4,188,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH4,189,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH4,190,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH4,191,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH4,192,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH4,193,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH4,194,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH4,195,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,196,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,197,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,198,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,199,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,200,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,201,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,202,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,203,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,204,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,205,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,206,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,207,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,208,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,209,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,210,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,211,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,212,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,213,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,214,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,215,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,216,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,217,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,218,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,219,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,220,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,221,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,222,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,223,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,224,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,225,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,226,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,227,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,228,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,229,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,230,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,231,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,232,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH5,233,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH5,234,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH5,235,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH5,236,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH5,237,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH5,238,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH6,239,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH6,240,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH6,241,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH6,242,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH6,243,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH6,244,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH6,245,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH6,246,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH6,247,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH6,248,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH6,249,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH6,250,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH6,251,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH6,252,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH6,253,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH6,254,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH6,255,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH6,256,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH6,257,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH6,258,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH6,259,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH6,260,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH6,261,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH6,262,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH6,263,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH6,264,0,3,1,0,0,1,1,0,1,0,0,1
SWITCH6,265,1,3,1,1,1,0,0,1,0,1,1,0
SWITCH6,266,2,3,1,0,1,0,1,0,1,1,0,1
SWITCH6,267,0,3,0,1,0,1,1,0,1,1,0,0
SWITCH6,268,1,3,0,1,0,1,0,1,1,0,1,0
SWITCH6,269,2,3,0,1,1,0,0,1,0,1,1,0
SWITCH6,270,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH6,271,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH6,272,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH6,273,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH6,274,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH6,275,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH6,276,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH6,277,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH6,278,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH6,279,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH6,280,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH6,281,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH6,282,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH6,283,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH6,284,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH6,285,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH6,286,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH6,287,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH6,288,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH6,289,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH6,290,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH6,291,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH6,292,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH6,293,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH6,294,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH6,295,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH6,296,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH6,297,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH6,298,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH6,299,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH6,300,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH6,301,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH7,302,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH7,303,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH7,304,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH7,305,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH7,306,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH7,307,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH7,308,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH7,309,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH7,310,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH7,311,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH7,312,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH7,313,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH7,314,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH7,315,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH7,316,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH7,317,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH7,318,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH7,319,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH7,320,2,4,1,0,1,0,1,0,1,1,0,1
SWITCH7,321,0,4,0,1,0,1,1,0,1,1,0,0
SWITCH8,322,1,4,0,1,0,1,0,1,1,0,1,0
SWITCH8,323,2,4,0,1,1,0,0,1,0,1,1,0
SWITCH8,324,0,4,1,0,0,1,1,0,1,0,0,1
SWITCH8,325,1,4,1,1,1,0,0,1,0,1,1,0
SWITCH8,326,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH8,327,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH8,328,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH8,329,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,330,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH8,331,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH9,332,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH9,333,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH9,334,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH9,335,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH9,336,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH9,337,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH9,338,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH9,339,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH9,340,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH9,341,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH9,342,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH9,343,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH9,344,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH9,345,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH9,346,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH9,347,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH9,348,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH9,349,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH9,350,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH9,351,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH10,352,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH10,353,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH10,354,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH10,355,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH10,356,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH10,357,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH10,358,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH10,359,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH10,360,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH10,361,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH10,362,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH10,363,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH10,364,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH10,365,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH10,366,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH10,367,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH10,368,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH10,369,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH10,370,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH10,371,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH10,372,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH10,373,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH10,374,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH10,375,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH10,376,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH10,377,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH10,378,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH10,379,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH10,380,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH10,381,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH10,382,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH10,383,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH10,384,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,385,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,386,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH11,387,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH11,388,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH11,389,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH11,390,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,391,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,392,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH11,393,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH11,394,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH11,395,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH11,396,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,397,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,398,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH11,399,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH11,400,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH11,401,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH11,402,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,403,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,404,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH11,405,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH11,406,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH11,407,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH11,408,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,409,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,410,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH11,411,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH11,412,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH11,413,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH11,414,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,415,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,416,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH11,417,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH11,418,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH11,419,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH11,420,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH11,421,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH11,422,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH7,423,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH7,424,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH7,425,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH7,426,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH7,427,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH7,428,2,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,429,0,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,430,1,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,431,2,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,432,0,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,433,1,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,434,2,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,435,0,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,436,1,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,437,2,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,438,0,5,1,1,1,1,1,1,1,1,1,1
SWITCH7,439,1,5,1,0,1,0,1,0,1,1,0,1
SWITCH7,440,2,5,0,1,0,1,1,0,1,1,0,0
SWITCH7,441,0,5,0,1,0,1,0,1,1,0,1,0
SWITCH7,442,1,5,0,1,1,0,0,1,0,1,1,0
SWITCH7,443,2,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,444,0,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,445,1,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,446,2,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,447,0,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,448,1,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,449,2,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,450,0,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,451,1,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,452,2,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,453,0,5,0,0,0,0,0,0,0,0,0,0
SWITCH7,454,1,5,0,0,0,0,0,0,0,0,0,0
SWITCH8,455,2,5,0,0,0,0,0,0,0,0,0,0
SWITCH8,456,0,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,457,1,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,458,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,459,0,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,460,1,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,461,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,462,0,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,463,1,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,464,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,465,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH8,466,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH8,467,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH8,468,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH8,469,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH8,470,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH8,471,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH8,472,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH8,473,2,5,1,0,1,0,1,0,1,1,0,1
SWITCH8,474,0,5,0,1,0,1,1,0,1,1,0,0
SWITCH9,475,1,5,0,1,0,1,0,1,1,0,1,0
SWITCH9,476,2,5,0,1,1,0,0,1,0,1,1,0
SWITCH9,477,0,5,1,0,0,1,1,0,1,0,0,1
SWITCH9,478,1,5,1,1,1,0,0,1,0,1,1,0
SWITCH9,479,2,6,1,0,1,0,1,0,1,1,0,1
SWITCH9,480,0,6,0,1,0,1,1,0,1,1,0,0
SWITCH9,481,1,6,0,1,0,1,0,1,1,0,1,0
SWITCH9,482,2,6,0,1,1,0,0,1,0,1,1,0
SWITCH9,483,0,6,1,0,0,1,1,0,1,0,0,1
SWITCH9,484,1,6,1,1,1,0,0,1,0,1,1,0
SWITCH10,485,2,6,1,0,1,0,1,0,1,1,0,1
SWITCH10,486,0,6,0,1,0,1,1,0,1,1,0,0
SWITCH10,487,1,6,0,1,0,1,0,1,1,0,1,0
SWITCH10,488,2,6,0,1,1,0,0,1,0,1,1,0
SWITCH10,489,0,6,1,0,0,1,1,0,1,0,0,1
SWITCH10,490,1,6,1,1,1,0,0,1,0,1,1,0
SWITCH10,491,2,6,1,0,1,0,1,0,1,1,0,1
SWITCH10,492,0,6,0,1,0,1,1,0,1,1,0,0
SWITCH10,493,1,6,0,1,0,1,0,1,1,0,1,0
SWITCH10,494,2,6,0,1,1,0,0,1,0,1,1,0
SWITCH10,495,0,6,1,0,0,1,1,0,1,0,0,1
SWITCH10,496,1,6,1,1,1,0,0,1,0,1,1,0
SWITCH10,497,2,6,1,0,1,0,1,0,1,1,0,1
SWITCH10,498,0,6,0,1,0,1,1,0,1,1,0,0
SWITCH10,499,1,6,0,1,0,1,0,1,1,0,1,0
SWITCH10,500,2,6,0,1,1,0,0,1,0,1,1,0
SWITCH10,501,0,6,1,0,0,1,1,0,1,0,0,1
SWITCH10,502,1,6,1,1,1,0,0,1,0,1,1,0
SWITCH10,503,2,6,1,0,1,0,1,0,1,1,0,1
SWITCH10,504,0,6,0,1,0,1,1,0,1,1,0,0
SWITCH11,505,1,6,0,1,0,1,0,1,1,0,1,0
SWITCH11,506,2,6,0,1,1,0,0,1,0,1,1,0
SWITCH11,507,0,6,1,0,0,1,1,0,1,0,0,1
SWITCH11,508,1,6,1,1,1,0,0,1,0,1,1,0
SWITCH11,509,2,6,1,0,1,0,1,0,1,1,0,1
